TCP_name_heading,entity_type,entity_title,wiki_entity_id,description,what,aliases,Library of Congress authority ID,VIAF cluster ID,Oxford Dictionary of National Biography ID,Encyclopædia Britannica Online ID,writing language,date of birth,date of death,manner of death,cause of death,country of citizenship,occupation,student of,position held,field of work,religion or worldview,sex or gender,educated at,diocese,described by source,Oxford DNB Link
"Philippe de Mornay, seigneur du Plessis-Marly, 1549-1623",PERSON,Philippe de Mornay,Q944098,French theologian (1549-1623),human,['Mornay Duplessis'],n82119535,95235826,,biography/Philippe-de-Mornay-seigneur-du-Plessis-Marly,French (Q150),+1549-11-05T00:00:00Z,+1623-11-11T00:00:00Z,,,France (Q142),"['Protestant theologian (Q98833883)', 'philosopher (Q4964182)', 'writer (Q36180)', 'politician (Q82955)', 'religious reformer (Q130751334)']",Jean Mercier (Q6171180),,"['politics (Q7163)', 'Protestant Reformation (Q12562)']",Reformed Christianity (Q101849),male (Q6581097),,,"['Svensk uppslagsbok (Q1766280)', 'Great Soviet Encyclopedia (1969–1978) (Q17378135)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'New Encyclopedic Dictionary (Q19190511)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)', 'Biographie universelle ancienne et moderne (Q19135495)']",
"Philips Philips, John",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Phillip Phillip, William",PERSON,William Priestley (Louisiana planter),Q16858228,American planter,human,,,,,,,+1771-05-07T00:00:00Z,+1838-01-01T00:00:00Z,,,,,,,,,male (Q6581097),,,,
"Phillippson Phillippson, J",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Phillips Phillips, John",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
Philo Regis,PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Philopater Philopater, F",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Philopatris Philopatris, active 1606",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Phineas Fletcher, 1582-1650",PERSON,Phineas Fletcher,Q2745639,British writer,human,,n50003552,34576203,9738.0,biography/Phineas-Fletcher,"['English (Q1860)', 'Latin (Q397)']",+1582-04-08T00:00:00Z,+1650-12-13T00:00:00Z,,,"['Scotland (Q22)', 'United Kingdom (Q145)']",poet (Q49757),,,,Anglicanism (Q6423963),male (Q6581097),"['Eton College (Q192088)', ""King's College (Q924289)""]",,"['Nordisk familjebok (Q678259)', 'Dictionary of National Biography, 1885–1900 (Q15987216)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Pierre Ayrault, 1536-1601",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre Borel, 1620?-1671",PERSON,Pierre Borel,Q3384092,French scholar (1620-1671),human,,n85005933,7415308,,,French (Q150),+1620-01-01T00:00:00Z,+1671-10-14T00:00:00Z,,,France (Q142),"['physician (Q39631)', 'chemist (Q593644)', 'botanist (Q2374149)', 'lexicographer (Q14972848)', 'archaeologist (Q3621491)', 'physicist (Q169470)']",,,,,male (Q6581097),,,,
"Pierre Charron, 1541-1603",PERSON,Pierre Charron,Q463846,French theologian and philosopher,human,,n83025567,32015289,,biography/Pierre-Charron,Middle French (Q1473289),+1541-01-01T00:00:00Z,+1603-11-16T00:00:00Z,,,France (Q142),"['philosopher (Q4964182)', 'theologian (Q1234713)', 'writer (Q36180)', 'cleric (Q2259532)']",,"[None, 'secretary (Q319544)']",,Catholic Church (Q9592),male (Q6581097),University of Montpellier (Q776223),,"['Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'The Nuttall Encyclopædia (Q3181656)', 'Meyers Konversations-Lexikon, 4th edition (1885–1890) (Q19219752)', 'Encyclopædia Britannica 11th edition (Q867541)', 'The Catholic Encyclopedia (Q302556)', 'Biographie universelle ancienne et moderne (Q19135495)']",
"Pierre Corneille, 1606-1684",PERSON,Pierre Corneille,Q747,French tragedian (1606–1684),human,,n79084877,"['41838293', '3060147907527679210008', '9665159477885227990006']",,biography/Pierre-Corneille,French (Q150),+1606-06-06T00:00:00Z,+1684-10-01T00:00:00Z,,,Kingdom of France (Q70972),"['playwright (Q214917)', 'poet (Q49757)', 'translator (Q333634)', 'writer (Q36180)', 'poet lawyer (Q1209498)']",,seat 14 of the Académie française (Q70495965),literature (Q8242),Catholicism (Q1841),male (Q6581097),Lycée Pierre-Corneille (Q3268638),,"['The Catholic Encyclopedia (Q302556)', 'Great Soviet Encyclopedia (1969–1978) (Q17378135)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Encyclopædia Britannica 11th edition (Q867541)', 'The Nuttall Encyclopædia (Q3181656)', ""Library of the World's Best Literature (Q19098835)"", ""The New Student's Reference Work (Q16082057)""]",
"Pierre Du Moulin, 1568-1658",PERSON,Pierre Du Moulin,Q3384862,French minister (1568-1658),human,"['Petrus Molines', 'P. Du Moulin (Petrus Molinaeus)', 'Petrus (Pierre du Moulin) Molinaeus', 'Pierre Dumoulin', 'Dumoulin, Pierre']",n84212952,24620027,19430.0,,French (Q150),"['+1568-10-16T00:00:00Z', '+1568-10-26T00:00:00Z', '+1700-00-00T00:00:00Z']","['+1658-03-10T00:00:00Z', '+1700-00-00T00:00:00Z']",,,France (Q142),"['theologian (Q1234713)', 'university teacher (Q1622272)', 'evangelist (Q1381391)']",,,,Protestantism (Q23540),male (Q6581097),"['Academy of Sedan (Q413941)', 'Leiden University (Q156598)']",,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Allgemeine Deutsche Biographie, 22nd volume (Q20047303)', 'Allgemeine Deutsche Biographie (Q590208)']",
"Pierre Erondelle, active 1586-1609",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre Gassendi, 1592-1655",PERSON,Pierre Gassendi,Q192315,"French philosopher, astronomer, mathematician, priest, and scientist (*1592 – †1655)",human,,n82005624,"['29547503', '6263160486087905180001']",,biography/Pierre-Gassendi,,"['+1592-01-22T00:00:00Z', '+1592-00-00T00:00:00Z']","['+1655-10-24T00:00:00Z', '+1655-00-00T00:00:00Z']",,,Kingdom of France (Q70972),"['philosopher (Q4964182)', 'mathematician (Q170790)', 'astronomer (Q11063)', 'professor (Q121594)', 'astrologer (Q155647)', 'physicist (Q169470)', 'theologian (Q1234713)', 'naturalist (Q18805)', 'writer (Q36180)', 'Catholic priest (Q250867)']",Philibert Fezaye (Q55553912),"['canon (Q1104153)', 'provost (Q756215)']",philosophy (Q5891),Catholic Church (Q9592),male (Q6581097),"['Aix University (Q26857409)', 'Avignon University (Q2033119)']",,"['Nordisk familjebok (Q678259)', 'Great Soviet Encyclopedia (1969–1978) (Q17378135)', 'Armenian Soviet Encyclopedia (Q2657718)', 'BEIC Digital Library (Q51955019)', ""Otto's encyclopedia (Q2041543)"", 'The Nuttall Encyclopædia (Q3181656)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', ""Library of the World's Best Literature (Q19098835)"", 'Great Soviet Encyclopedia (1926–1947) (Q20078554)', 'Meyers Konversations-Lexikon, 4th edition (1885–1890) (Q19219752)', 'Encyclopædia Britannica 11th edition (Q867541)', 'The Catholic Encyclopedia (Q302556)', 'Granat Encyclopedic Dictionary (Q4532138)', 'Physicists: Biographical Dictionary (Q126178049)', 'Astronomers: A Biographical Reference (Q126740695)']",
"Pierre Gautruche, 1602-1681",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre Jarrige, 1605-1660",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre Jurieu, 1637-1713",PERSON,Pierre Jurieu,Q553769,French theologian,human,,n81125825,12719,,,,+1637-12-24T00:00:00Z,+1713-01-11T00:00:00Z,,,France (Q142),"['pastor (Q152002)', 'Protestant theologian (Q98833883)', 'university teacher (Q1622272)']",,,,Protestantism (Q23540),male (Q6581097),"['Academy of Saumur (Q1215328)', 'Academy of Sedan (Q413941)']",,,
"Pierre Le Moyne, 1602-1671",PERSON,Pierre Le Moyne d'Iberville,Q55250,"French soldier, ship captain, explorer, and founder of Louisiana (1661-1706)",human,,n80070332,7399987,,biography/Pierre-Le-Moyne-dIberville,,"['+1661-07-16T00:00:00Z', '+1661-01-01T00:00:00Z']","['+1706-07-09T00:00:00Z', '+1706-01-01T00:00:00Z']",natural causes (Q3739104),yellow fever (Q154874),France (Q142),"['explorer (Q11900058)', 'Officer of the French Navy (Q3349700)', 'wholesaler (Q18242306)', 'inventor (Q205375)', 'privateer (Q201559)', 'pirate (Q10729326)', 'trader (Q3704253)', 'sailor (Q45199)', 'merchant (Q215536)']",,governor of French Louisiana (Q61986467),"['maritime trade (Q112159071)', 'marine transportation (Q107228380)', 'colonization (Q815962)', 'exploration (Q6502154)']",,male (Q6581097),,,,
"Pierre Leroy, Canon of Rouen",PERSON,Pierre Leroy,Q98153346,Belgian lawyer and colonial administrator (1909-1985),human,,no95059382,122373703,,,,+1909-00-00T00:00:00Z,+1985-00-00T00:00:00Z,,,Belgium (Q31),,,,,,male (Q6581097),,,,
"Pierre Lombart, 1612-1682, engraver",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre Matthieu, 1563-1621",PERSON,Pierre Matthieu,Q3386220,"French writer, poet, historian and dramatist (1563-1621)",human,,n81117369,71400736,,,"['French (Q150)', 'Latin (Q397)']",+1563-12-10T00:00:00Z,+1621-10-12T00:00:00Z,,,France (Q142),"['writer (Q36180)', 'poet (Q49757)', 'playwright (Q214917)', 'historian (Q201788)', 'historiographer (Q56314891)']",,,,,male (Q6581097),,,BEIC Digital Library (Q51955019),
"Pierre Merlin, circa 1535-1603",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre Nicole, 1625-1695",PERSON,Pierre Nicole,Q719942,French Jansenists,human,['Guillaume Wendrock'],n50004346,"['49229591', '105144783017506314272', '2387154501898539210008']",,biography/Pierre-Nicole,,"['+1625-10-19T00:00:00Z', '+1625-10-13T00:00:00Z']",+1695-11-16T00:00:00Z,,,France (Q142),"['theologian (Q1234713)', 'philosopher (Q4964182)', 'French moralist (Q1297719)', 'writer (Q36180)']",Martin de Barcos (Q3295688),,,,male (Q6581097),,,"['Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'New Encyclopedic Dictionary (Q19190511)', 'The Nuttall Encyclopædia (Q3181656)', ""Library of the World's Best Literature (Q19098835)"", 'Encyclopædia Britannica 11th edition (Q867541)', 'The Catholic Encyclopedia (Q302556)']",
"Pierre Vattier, 1623-1667",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre Yvon, 1646-1707",PERSON,Pierre-Yvon Lenoir,Q7192031,French runner (1936-2015),human,,,,,,,+1936-08-08T00:00:00Z,+2015-11-24T00:00:00Z,,,France (Q142),athletics competitor (Q11513337),,,,,male (Q6581097),,,,
"Pierre de Belloy, circa 1540-1613",PERSON,Pierre-Laurent Buirette de Belloy,Q711842,French actor and dramatist,human,['Belloy'],n83008327,68962659,,,French (Q150),"['+1727-11-17T00:00:00Z', '+1727-01-01T00:00:00Z']","['+1775-03-05T00:00:00Z', '+1775-01-01T00:00:00Z']",,,France (Q142),"['playwright (Q214917)', 'writer (Q36180)', 'stage actor (Q2259451)']",,seat 34 of the Académie française (Q70496000),,,male (Q6581097),Collège des Quatre-Nations (Q979600),,"['Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'The Nuttall Encyclopædia (Q3181656)', ""Library of the World's Best Literature (Q19098835)"", 'Meyers Konversations-Lexikon, 4th edition (1885–1890) (Q19219752)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Pierre de L'Estoile, 1546-1611",PERSON,Pierre de L'Estoile,Q2007428,French diarist and writer (1546–1611),human,,n85143449,73855668,,,French (Q150),+1546-01-01T00:00:00Z,+1611-10-08T00:00:00Z,,,France (Q142),"['writer (Q36180)', 'diarist (Q18939491)', 'memoirist (Q11774156)']",,,,,male (Q6581097),,,Brockhaus and Efron Encyclopedic Dictionary (Q602358),
"Pierre de L'Estoile, 1546-1611, attributed name",PERSON,Pierre de L'Estoile,Q2007428,French diarist and writer (1546–1611),human,,n85143449,73855668,,,French (Q150),+1546-01-01T00:00:00Z,+1611-10-08T00:00:00Z,,,France (Q142),"['writer (Q36180)', 'diarist (Q18939491)', 'memoirist (Q11774156)']",,,,,male (Q6581097),,,Brockhaus and Efron Encyclopedic Dictionary (Q602358),
"Pierre de La Primaudaye, born ca",PERSON,Pierre de La Primaudaye,Q3387588,16th-century French writer,human,,n90656610,24709728,,,,+1546-01-01T00:00:00Z,+1619-12-00T00:00:00Z,,,France (Q142),writer (Q36180),,,,,male (Q6581097),,,,
"Pierre le Loyer, 1550-1634",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre, de la Cépède Pierre, de la Cépède, 15th cent",PERSON,Bernard Germain de Lacépède,Q313363,French naturalist (1756-1825),human,"['Lacepede', 'Lacépède', 'Bernard Germain Etienne de La Ville sur Illon de Lacepede', 'Bernard-Germain de Lacépède', 'Bernard Germain de Lacepede', 'Bernard-Germain de Lacepede', 'Bernard-Germain-Étienne de Lacépède', 'Comte de Lacépède', 'Count de La Cépède']",n86825908,22156296,,biography/Etienne-de-La-Ville-sur-Illon-comte-de-Lacepede,French (Q150),+1756-12-26T00:00:00Z,+1825-10-06T00:00:00Z,natural causes (Q3739104),smallpox (Q12214),France (Q142),"['politician (Q82955)', 'zoologist (Q350979)', 'composer (Q36834)', 'naturalist (Q18805)', 'ichthyologist (Q4205432)', 'professor (Q121594)', 'writer (Q36180)', 'ornithologist (Q1225716)', 'herpetologist (Q16271064)']",,"['member of the French National Assembly (Q3044918)', 'Grand Chancellor of the Legion of Honour (Q17457216)', 'Pair of France (Q21032621)', 'member of the Sénat conservateur (Q21032677)', 'Peer of France (Q21034738)', 'president of the French Academy of Sciences (Q23034946)', 'president of the French Academy of Sciences (Q23034946)']",ichthyology (Q60242),,male (Q6581097),,,"['Nordisk familjebok (Q678259)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'The Nuttall Encyclopædia (Q3181656)', ""Library of the World's Best Literature (Q19098835)"", 'Great Soviet Encyclopedia (1926–1947) (Q20078554)', 'Encyclopædia Britannica 11th edition (Q867541)', 'Biographie universelle ancienne et moderne (Q19135495)', 'BEIC Digital Library (Q51955019)']",
"Pierse Pierse, Charles",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierson Pierson, David",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Piersonn Piersonn, Thomas",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pietro Aretino, 1492-1556",PERSON,Pietro Aretino,Q296272,"Italian author, playwright, poet, satirist, and blackmailer (1492-1556)",human,"['Piero Aretino', 'Pietro del Tura', 'Arétin', 'Aretin', 'Partenio Etiro']",n79089193,66609417,,biography/Pietro-Aretino,Italian (Q652),"['+1492-04-00T00:00:00Z', '+1492-04-19T00:00:00Z', '+1492-01-01T00:00:00Z']","['+1556-10-21T00:00:00Z', '+1556-01-01T00:00:00Z']",,death from laughter (Q12242142),Republic of Venice (Q4948),"['poet (Q49757)', 'playwright (Q214917)', 'journalist (Q1930187)', 'writer (Q36180)', 'art historian (Q1792450)']",,,"['satirical literature (Q115160293)', 'drama (Q25372)', 'lyricism (Q3326349)']",,male (Q6581097),,,"[None, 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Encyclopedic Lexicon (Q4532135)', 'Encyclopædia Britannica 11th edition (Q867541)', ""Hoff's Kurze Biographien, vol 2 (Q27051827)"", 'Great Soviet Encyclopedia (1926–1947) (Q20078554)', 'BEIC Digital Library (Q51955019)', 'The Nuttall Encyclopædia (Q3181656)', ""Pietro Aretino e l'arte del Rinascimento (Q107256036)"", ""Library of the World's Best Literature (Q19098835)"", 'Armenian Soviet Encyclopedia, vol. 2 (Q124737604)']",
"Pietro Martire Vermigli, 1499-1562",PERSON,Peter Martyr Vermigli,Q598060,Italian Reformed theologian,human,"['Pietro Martire Vermigli', 'Piero Mariano', 'Pietro Martire Vermiglio', 'Peter Martyr']",n50053097,95213458,28225.0,biography/Peter-Martyr-Vermigli,,+1499-09-08T00:00:00Z,+1562-11-12T00:00:00Z,,,Republic of Florence (Q148540),"['theologian (Q1234713)', 'university teacher (Q1622272)', 'writer (Q36180)']",,Regius Professor of Divinity (Q7309475),"['theology (Q34178)', 'Protestant Reformation (Q12562)']",Protestantism (Q23540),male (Q6581097),University of Padua (Q193510),,"['Dictionary of National Biography, 1885–1900 (Q15987216)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)']",
"Pietro Sardi, born 1559?",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pigot Pigot, John",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pinnell Pinnell, Henry",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Plaix, César de Plaix, César de, died 1641",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Planis Campy Planis Campy, David de",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Pliny Pliny, the Elder",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
"Plummer Plummer, Timothy",PERSON,,,,,,,,,,,,,,,,,,,,,,,,,
Polybius,PERSON,Polybius,Q131169,ancient Greek historian,human,['Polybius of Megalopolis'],n79006487,"['267920293', '674145857059422921470', '4901308', '264022259', '18152380130901762264', '263890101', '619144647723359873942', '1146828796108222838', '1910159474219127661942', '258479140', '604144647671550357856', '4743164963961424300001', '56159477541027990005', '55159477541027990008', '9066168049014538410009', '104168839595745401340', '290422100', '9611149544633400490005', '868154381061630292304']",,biography/Polybius,Ancient Greek (Q35497),"['-0200-00-00T00:00:00Z', '-0212-00-00T00:00:00Z', '-0211-00-00T00:00:00Z']","['-0120-00-00T00:00:00Z', '-0132-00-00T00:00:00Z', '-0130-00-00T00:00:00Z', '-0129-00-00T00:00:00Z']",accidental death (Q21142718),horse fall (Q2967712),Achaean League (Q244796),"['historian (Q201788)', 'military personnel (Q47064)', 'writer (Q36180)']",,,,,male (Q6581097),,,"['Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Encyclopædia Britannica 11th edition (Q867541)', ""Russian translation of Lübker's Antiquity Lexicon (Q30059240)"", 'BEIC Digital Library (Q51955019)', ""Otto's encyclopedia (Q2041543)"", 'The Nuttall Encyclopædia (Q3181656)', ""Library of the World's Best Literature (Q19098835)"", 'Meyers Konversations-Lexikon, 4th edition (1885–1890) (Q19219752)', 'Granat Encyclopedic Dictionary (Q4532138)']",
"Pope Clement VIII, 1536-1605",PERSON,Pope Clement VIII,Q170395,pope of the Catholic Church from 1592 to 1605 (1536–1605),human,"['Pope Clement VIII', 'Ippolito Aldobrandini', 'Klemens VIII. Papst', 'pape Clément VIII', 'papa Clemens VIII', 'Clemens VIII', 'Clemens PP. VIII', 'Pope Clemens VIII', 'pape Clement VIII']",n81066128,100212973,,biography/Clement-VIII-pope,,+1536-02-24T00:00:00Z,+1605-03-03T00:00:00Z,natural causes (Q3739104),stroke (Q12202),Papal States (Q170174),"['diplomat (Q193391)', 'Catholic priest (Q250867)']",Francesco Cornello (Q25421800),"['Pope (Q19546)', 'ambassador (Q121998)', 'cardinal (Q45722)']",,Catholic Church (Q9592),male (Q6581097),"['University of Padua (Q193510)', 'University of Bologna (Q131262)', 'University of Perugia (Q748085)']",,"['BEIC Digital Library (Q51955019)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)']",
"Pope Clement X, 1590-1676",PERSON,Pope Clement X,Q155956,pope of the Catholic Church from 1670 to 1676 (1590-1676),human,"['Pope Clement X', 'Emilio Altieri', 'Clemens PP. X', 'Klemens X. Papst', 'Clemens X']",n85310847,316874496,,biography/Clement-X,,+1590-07-13T00:00:00Z,+1676-07-22T00:00:00Z,,,Papal States (Q170174),"['diplomat (Q193391)', 'Catholic priest (Q250867)', 'Catholic bishop (Q611644)']",,"['Pope (Q19546)', 'Roman Catholic Bishop of Camerino (Q115115643)']",,Catholic Church (Q9592),male (Q6581097),"['Sapienza University of Rome (Q209344)', 'Pontifical Gregorian University (Q467025)']",,"['Nordisk familjebok (Q678259)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'The Nuttall Encyclopædia (Q3181656)', 'Great Soviet Encyclopedia (1926–1947) (Q20078554)', 'Wikitólica (Q138600930)']",
"Pope Gregory I, circa 540-604",PERSON,Pope Gregory I,Q42827,"64th Bishop of Rome, Head of the Roman Catholic Church from 590 to 604",human,"['Pope Gregory I', 'Saint Gregory the Great', 'St. Gregory the Dialogist', 'Gregory', 'Gregory the Great', 'St Gregory', 'Saint Gregory', 'Pope St. Gregory I', 'Saint Gregory I', 'St Gregory I', 'St Gregory the Great', 'Pope Gregory the Great', 'St. Gregory the Great', 'Gregorius Anicius', 'Gregorius Magnus', 'Pope Saint Gregory I the Great', 'Pope Saint Gregory I', 'Saint Gregory the Dialogist', 'Saint Gregorius Magnus', 'Gregory The Great']",n79056801,"['100184667', '63158790629638851734', '8856148997662259870004', '307185644', '758154381044030291947', '283027091', '7802167867526223060008', '305078616', '2167867486423060004', '394158790634838852045', '103646037', '7451167867524823060008', '8978167867569623060006', '5819168049046738410000', '54148539']",,"['biography/Saint-Gregory-I', 'biography/St-Gregory-the-Great']",Latin (Q397),"['+0540-11-30T00:00:00Z', '+0540-00-00T00:00:00Z']",+0604-03-12T00:00:00Z,,,,"['diplomat (Q193391)', 'Latin Catholic priest (Q1469535)', 'writer (Q36180)']",,"['Pope (Q19546)', 'papal apocrisiarius to Constantinople (Q7132430)']",,Catholic Church (Q9592),male (Q6581097),,Diocese of Rome (Q665037),"['Nordisk familjebok (Q678259)', ""Riemann's Music Dictionary (Q27680201)"", 'BEIC Digital Library (Q51955019)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Jewish Encyclopedia of Brockhaus and Efron (Q4173137)', None, None, 'The Nuttall Encyclopædia (Q3181656)', 'Encyclopædia Britannica 11th edition (Q867541)', 'Encyclopædia Britannica Ninth Edition (Q20096917)', ""The New Student's Reference Work (Q16082057)"", 'Pauly–Wissowa (Q1138524)', 'Wikitólica (Q138600930)']",
"Pope Innocent III, 1160 or 61-1216",PERSON,Pope Innocent III,Q128076,Head of the Catholic Church from 1198 to 1216,human,"['Pope Innocent III', 'Pope Innozenz III', 'Lothar of Segni', 'Lotario di Segni', 'pape Innocent III', 'Innozenz III. Papst', 'Pope Innocenzo III', 'Pope Innocentius III', '\u200f papa Innocenzo III', 'Innocentius PP. III', 'Pope Innocenz III', 'Lothair of Segni', 'Lotario dei conti di Segni', 'Lotario dei Conti di Segni']",n50077523,16017787,,biography/Innocent-III-pope,,"['+1160-02-22T00:00:00Z', '+1161-00-00T00:00:00Z']",+1216-07-16T00:00:00Z,,,,"['Catholic priest (Q250867)', 'writer (Q36180)']",Peter of Corbeil (Q1238914),"['cardinal (Q45722)', 'Titular Patriarch of Alexandria (Q102045840)', 'Pope (Q19546)']",,Catholic Church (Q9592),male (Q6581097),"['University of Paris (Q209842)', 'University of Bologna (Q131262)']",,"['Nordisk familjebok (Q678259)', 'Vlastenský slovník historický (Q19538713)', 'BEIC Digital Library (Q51955019)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'The Nuttall Encyclopædia (Q3181656)', 'Jewish Encyclopedia of Brockhaus and Efron (Q4173137)', 'Encyclopædia Britannica 11th edition (Q867541)', 'The Catholic Encyclopedia (Q302556)', 'Granat Encyclopedic Dictionary (Q4532138)']",
"Pope Innocent XI, 1611-1689",PERSON,Pope Innocent XI,Q101286,pope of the Catholic Church from 1676 to 1689,human,"['Pope Innocent XI', 'Benedetto Odescalchi']",n83046109,54261450,,biography/Blessed-Innocent-XI,,+1611-05-19T00:00:00Z,+1689-08-12T00:00:00Z,,,Papal States (Q170174),"['Catholic priest (Q250867)', 'Catholic bishop (Q611644)']",,"['Pope (Q19546)', 'Camerlengo of the Sacred College of Cardinals (Q1813197)', 'diocesan bishop (Q1144278)']","['Christian Church (Q34651)', 'Christianity (Q5043)', 'papacy (Q12774933)', 'papacy (Q12774933)']",Catholic Church (Q9592),male (Q6581097),Sapienza University of Rome (Q209344),,"['Nordisk familjebok (Q678259)', 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'The Nuttall Encyclopædia (Q3181656)', 'Jewish Encyclopedia of Brockhaus and Efron (Q4173137)', 'Encyclopædia Britannica 11th edition (Q867541)', 'Wikitólica (Q138600930)']",
"Pope Paul V, 1552-1621",PERSON,Pope Paul V,Q132711,233rd pope of the Roman Catholic Church from 1605 to 1621,human,"['Pope Paul V', 'Camillo Borghese', 'Paulus V', 'Paul V. Papst', 'Paulus PP. V', 'papa Paolo V', 'Pope Paulus V', 'pape Paul V', 'Camille Borghèse', 'Camillo Borghèse']",n85144319,5065712,,biography/Paul-V,,+1552-09-17T00:00:00Z,+1621-01-28T00:00:00Z,natural causes (Q3739104),stroke (Q12202),Papal States (Q170174),"['Latin Catholic priest (Q1469535)', 'Catholic bishop (Q611644)']",,"['Pope (Q19546)', 'Roman Catholic Bishop of Iesi (Q122496992)', 'Cardinal Vicar (Q1729117)']",,Catholic Church (Q9592),male (Q6581097),"['University of Padua (Q193510)', 'University of Bologna (Q131262)', 'University of Perugia (Q748085)']",,"[""Otto's encyclopedia (Q2041543)"", 'Brockhaus and Efron Encyclopedic Dictionary (Q602358)', 'Small Brockhaus and Efron Encyclopedic Dictionary (Q19180675)', 'Yuzhakov Big Encyclopedia (Q4091878)', 'The Nuttall Encyclopædia (Q3181656)', 'The Catholic Encyclopedia (Q302556)', 'Wikitólica (Q138600930)']",
